hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
The Aster Karol Bagh,"₹ 2,774",7.0,Good,86,"Karol bagh, New Delhi",Deluxe Room,1 extra-large double bed,+₹ 333 taxes and charges,3,1 night, 2 adults,"₹ 3,650",True,True,2023-08-01,2023-08-02,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning, Breakfast"
WILD RIDGE SARISKA RESORT,"₹ 2,394",7.6,Good,10,Thāna Ghāzi,Deluxe Room,"2 beds (1 extra-large double, 1 futon)",+₹ 287 taxes and charges,0,1 night, 2 adults,"₹ 2,394",True,True,2023-08-01,2023-08-02,"Outdoor swimming pool, Free parking, Non-smoking rooms, Airport shuttle, Restaurant, Room service, WiFi, Family rooms, Facilities for disabled guests, Breakfast"
Staybook - Shivdev New Delhi Railway Station,"₹ 1,500",7.4,Good,"1,533","Paharganj, New Delhi",Executive Double Room,1 extra-large double bed,+₹ 180 taxes and charges,3,1 night, 2 adults,"₹ 2,999",False,True,2023-08-01,2023-08-02,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free WiFi, Free parking, 24-hour front desk, Terrace, Bar, Very good breakfast"
Savoy Suites Manesar,"₹ 5,200",7.7,Good,113,"IMT Manesar, Gurgaon",Premier King/Twin Suite,1 large double bed,+₹ 624 taxes and charges,3,1 night, 2 adults,"₹ 5,200",False,True,2023-08-01,2023-08-02,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking, Facilities for disabled guests, 24-hour front desk, Good breakfast"
Yes Boss By Backpackers Heaven,"₹ 1,400",7.7,Good,"1,027","Paharganj, New Delhi",Deluxe Room,1 extra-large double bed,+₹ 168 taxes and charges,3,1 night, 2 adults,"₹ 3,500",False,True,2023-08-01,2023-08-02,"Airport shuttle, Room service, Family rooms, Free WiFi, 24-hour front desk, Terrace, Laundry, Daily housekeeping, Air conditioning"
Hotel Sunstar Grand,"₹ 2,400",7.7,Good,132,"Karol bagh, New Delhi",Deluxe Double or Twin Room,Multiple bed types,+₹ 288 taxes and charges,3,1 night, 2 adults,"₹ 2,400",False,True,2023-08-01,2023-08-02,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking, 24-hour front desk, Terrace, Laundry, Good breakfast"
FabExpress Joy Stick,"₹ 1,426",6.9,Review score,14,Indirapuram,Deluxe Room,1 double bed,+₹ 171 taxes and charges,3,1 night, 2 adults,"₹ 3,101",False,True,2023-08-01,2023-08-02,"Free WiFi, Room service"
Hotel Sunstar Residency,"₹ 2,200",7.4,Good,159,"Karol bagh, New Delhi",Small Double Room,1 large double bed,+₹ 264 taxes and charges,3,1 night, 2 adults,"₹ 2,200",False,True,2023-08-01,2023-08-02,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, Free parking, 24-hour front desk, Terrace, Good breakfast"
FabHotel F9 Paschim Vihar,"₹ 1,865",7.2,Good,97,"Pashim Vihar, New Delhi",Deluxe Room,1 double bed,+₹ 224 taxes and charges,3,1 night, 2 adults,"₹ 4,055",False,True,2023-08-01,2023-08-02,"Room service, Free WiFi, Laundry, Daily housekeeping, Air conditioning"
OYO Hotel Crown Continental Near Sarai Rohilla Railway Station,"₹ 1,435",2.0,Review score,6,"Karol bagh, New Delhi",Deluxe Triple Room,2 extra-large double beds,+₹ 212 taxes and charges,3,1 night, 2 adults,"₹ 2,208",False,True,2023-08-01,2023-08-02,
Moustache Delhi,"₹ 2,789",8.4,Very good,753,"New Friends Colony, New Delhi",Superior Double Room,1 large double bed,+₹ 335 taxes and charges,0,1 night, 2 adults,"₹ 2,789",False,True,2023-08-01,2023-08-02,"Airport shuttle, Non-smoking rooms, Free WiFi, Free parking, 24-hour front desk, Terrace, Garden, Laundry, Daily housekeeping"
Muse Sarovar Portico Nehru Place,"₹ 6,165",6.6,Review score,105,"South Delhi, New Delhi",Superior Room - 1 Twin Bed,NA,+₹ 740 taxes and charges,4,1 night, 2 adults,"₹ 6,165",False,True,2023-08-01,2023-08-02,"Airport shuttle (free), Non-smoking rooms, Room service, Fitness centre, Restaurant, Family rooms, Free WiFi, Free parking, Facilities for disabled guests, Good breakfast"
Hotel Mannat international by Mannat,"₹ 2,102",8.2,Very good,"1,448","Paharganj, New Delhi",Deluxe King Room,1 extra-large double bed,+₹ 252 taxes and charges,3,1 night, 2 adults,"₹ 2,803",False,False,2023-08-01,2023-08-02,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, Free parking, 24-hour front desk, Tea/coffee maker in all rooms, Fabulous breakfast"
FabHotel Aerosky Grand,"₹ 1,646",7.9,Good,15,"Dwarka, New Delhi",Deluxe Room,1 double bed,+₹ 243 taxes and charges,3,1 night, 2 adults,"₹ 3,579",False,True,2023-08-01,2023-08-02,"Room service, Free WiFi, 24-hour front desk, Daily housekeeping, Air conditioning, Breakfast"
