hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
Ayaan Inn,"₹ 2,500",7.0,Good,1,Noida,Deluxe Double Room,1 large double bed,+₹ 300 taxes and charges,0,1 night, 2 adults,"₹ 2,500",False,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Fitness centre, Free parking, Free WiFi, Breakfast"
FabHotel Skylight Inn,"₹ 3,185",7.5,Good,115,Gurgaon,Deluxe Room,1 large double bed,+₹ 382 taxes and charges,3,1 night, 2 adults,"₹ 3,185",False,True,2024-01-02,2024-01-03,"Room service, Family rooms, Free parking, Free WiFi, 24-hour front desk"
FabHotel Cameron,"₹ 4,245",6.3,Review score,35,"Jasola, New Delhi",Deluxe Room,1 double bed,+₹ 509 taxes and charges,3,1 night, 2 adults,"₹ 4,245",False,True,2024-01-02,2024-01-03,"Room service, 24-hour front desk, Daily housekeeping, Air conditioning"
OYO Flagship 87667 Hotel Tushar Continental 1,"₹ 1,697",5.4,Review score,5,"Paharganj, New Delhi",Classic Triple Room,1 large double bed,+₹ 236 taxes and charges,3,1 night, 2 adults,"₹ 2,611",False,True,2024-01-02,2024-01-03,"Room service, 24-hour front desk, Daily housekeeping"
Treebo Trend Apple Pie,"₹ 3,482",8.3,Very good,67,Noida,Standard Double Room,1 large double bed,+₹ 418 taxes and charges,3,1 night, 2 adults,"₹ 5,198",True,True,2024-01-02,2024-01-03,"Non-smoking rooms, Room service, Family rooms, Free WiFi"
Almondz Hotel,"₹ 5,999",6.4,Review score,5,New Delhi,Premium Double Room,1 extra-large double bed,"+₹ 1,320 taxes and charges",3,1 night, 2 adults,"₹ 5,999",True,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Breakfast"
Hotel The Best Near Delhi Airport,"₹ 1,600",7.4,Good,8,"South West, New Delhi",Deluxe Room,1 double bed,+₹ 192 taxes and charges,4,1 night, 2 adults,"₹ 1,600",False,True,2024-01-02,2024-01-03,"Airport shuttle (free), Non-smoking rooms, Room service, Family rooms, Free parking, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning, Breakfast"
OYO Flagship 81128 Hotel Edisson,"₹ 1,984",1.0,Review score,1,"Mahipalpur, New Delhi",Classic Triple Room,1 large double bed,+₹ 270 taxes and charges,3,1 night, 2 adults,"₹ 3,052",False,True,2024-01-02,2024-01-03,Air conditioning
Aero Home Stay- Bed & Breakfast,"₹ 1,104",7.9,Good,80,"Mahipalpur, New Delhi",Standard Double Room,1 extra-large double bed,+₹ 132 taxes and charges,0,1 night, 2 adults,"₹ 1,104",False,True,2024-01-02,2024-01-03,"Non-smoking rooms, Room service, Family rooms, Free parking, Free WiFi, 24-hour front desk, Terrace, Laundry, Tea/coffee maker in all rooms, Breakfast"
Flagship Red Apple Home,"₹ 1,984",10,Exceptional,2,"South Delhi, New Delhi",Classic Triple Room,1 large double bed,+₹ 270 taxes and charges,3,1 night, 2 adults,"₹ 3,052",False,True,2024-01-02,2024-01-03,"Room service, Family rooms, 24-hour front desk, Daily housekeeping, Air conditioning"
Hotel Apple Villa by Check in Room,"₹ 3,599",6.2,Review score,106,"Paharganj, New Delhi",Budget Double Room,"2 beds (1 single, 1 double)",+₹ 432 taxes and charges,3,1 night, 2 adults,"₹ 3,599",False,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free WiFi, 24-hour front desk, Terrace, Laundry, Daily housekeeping, Breakfast"
"NUAB House - Near Fortis, MAX, MEDANTA, Paras Hospitals and HUDA Metro",₹ 850,7.4,Good,229,"City Center - Sector 29, Gurgaon",Superior Double Room,2 single beds,+₹ 102 taxes and charges,0,1 night, 2 adults,₹ 850,False,True,2024-01-02,2024-01-03,"Non-smoking rooms, Free parking"
OYO Hr 10 Hotel,"₹ 3,306",3.6,Review score,7,Sonīpat,Classic Triple Room,2 large double beds,+₹ 429 taxes and charges,3,1 night, 2 adults,"₹ 5,086",False,True,2024-01-02,2024-01-03,"Non-smoking rooms, Room service"
Serviced Apartments in Gurgaon - One BHK,"₹ 4,500",8.7,Fabulous,51,"Sector 40 - 44, Gurgaon",One-Bedroom Apartment,"2 beds (1 sofa bed, 1 large double)",Additional charges may apply,0,1 night, 2 adults,"₹ 4,500",False,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Facilities for disabled guests, Free WiFi"
"Hotel Le Heritage , Nizamudin Railway Station","₹ 3,200",4.1,Review score,18,"South Delhi, New Delhi",Deluxe Queen Room with Two Queen Beds,"2 beds (1 double, 1 large double)",+₹ 384 taxes and charges,3,1 night, 2 adults,"₹ 3,200",False,True,2024-01-02,2024-01-03,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Terrace, Daily housekeeping, Breakfast"
Hotel Grand Park Inn,"₹ 3,800",7.1,Good,147,"Karol bagh, New Delhi",Deluxe Room,1 double bed,+₹ 486 taxes and charges,3,1 night, 2 adults,"₹ 3,800",False,True,2024-01-02,2024-01-03,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, 24-hour front desk, Terrace, Laundry, Daily housekeeping, Air conditioning, Breakfast"
Treebo Trend C T International,"₹ 3,576",5.9,Review score,84,"Karol bagh, New Delhi",[Sanitized] Standard Double or Twin Room,Multiple bed types,+₹ 429 taxes and charges,3,1 night, 2 adults,"₹ 5,338",True,True,2024-01-02,2024-01-03,"Room service, Free parking, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning, Tea/coffee maker in all rooms"
